offer_date,ipo_name,cik,offer_price,assets_thous,total_proceeds_thous,headquarter,industry,sic_code,is_high_tech,Internet,Founding,vc_backed,first_day_price,vwretd,roll_vwretd,first_day_return,rf_fact_t07,rf_fact_t08,rf_fact_t09
2013-09-27,Premier Inc,1577916,27,598916,760102.87,NC,SERVICES-MANAGEMENT SERVICES,8741,FALSE,0,1969,FALSE,30.649994,-0.003599,0.0278505200639774,0.13518496296296300,0.5557324840764330,0.5617597292724200,0.5539112050739960
2014-06-26,ServiceMaster Global Holdings,1428875,17,5197000,610300,TN,SERVICES-MANAGEMENT SERVICES,8741,FALSE,0,1947,FALSE,17.95,-5.61E-04,0.0164364606679637,0.05588235294117640,0.49056603773584900,0.4913494809688580,0.45871559633027500
2015-06-05,Evolent Health Inc,1628908,17,76434,195500,VA,SERVICES-MANAGEMENT SERVICES,8741,FALSE,0,2011,TRUE,18.86,-1.5E-05,0.0082737743751593,0.10941176470588200,0.42528735632183900,0.4264705882352940,0.41580756013745700
2024-04-12,UL Solutions Inc.,1901440,28,2736000,946400,IL,SERVICES-TESTING LABORATORIES,8734,TRUE,0,1894,FALSE,34.94,-0.014894,-0.011398920787021,0.2478571428571430,0.5831485587583150,0.5823665893271460,0.6051136363636360
2010-11-11,Complete Genomics Inc,1361103,9,30278,54000,CA,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,8731,TRUE,0,2005,TRUE,8.03,-0.003605,0.0331300737702229,-0.10777777777777800,0.5213483146067420,0.5292682926829270,0.521613832853026
2013-05-08,Quintiles Transnational Hold,1478242,40,2499153,947368.4,NC,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,8731,TRUE,0,1982,FALSE,42.11,0.005022,0.0314437624983406,0.05275000000000000,0.4839650145772600,0.4828660436137070,0.4708029197080290
2013-08-07,Intrexon Corp,1356090,16,199685,159999.984,VA,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,8731,TRUE,0,1998,FALSE,24.73,-0.004516,0.0205656005528507,0.545625,0.5093896713615020,0.5025125628140700,0.486322188449848
2014-11-07,INC Research Holdings Inc,1610950,18.5,1316041,150000,NC,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,8731,TRUE,0,2002,FALSE,20.49,0.001998,0.0762598588917216,0.10756756756756700,0.4732142857142860,0.4720930232558140,0.4410958904109590
2014-11-13,PRA Health Sciences Inc,1613859,18,2304531,305581.39,NC,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,8731,TRUE,0,1984,FALSE,19.62,-9.44E-04,0.054480331161372,0.09000000000000010,0.4657534246575340,0.46116504854368900,0.4422535211267610
2016-08-11,Medpace Inc,1668397,23,994863,161000,OH,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,8731,TRUE,0,1992,FALSE,27.79,0.004818,0.00770027420450692,0.20826086956521700,0.4793713163064830,0.47379454926624700,0.4685138539042820
2020-02-06,PPD Inc,1793294,27,5589509,1620000,NC,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,8731,TRUE,0,1985,FALSE,30,0.002601,0.00398157470510285,0.1111111111111110,0.5236051502145920,0.5045871559633030,0.4942528735632180
2021-04-22,Zymergen Inc,1645842,31,304921,500030,CA,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,8731,TRUE,0,2013,TRUE,37.65,-0.007251,0.0375375036407197,0.21451612903225800,0.58603066439523,0.5965250965250970,0.5831265508684860
2021-06-17,iSpecimen Inc,1558569,8,5823.76,18000,MA,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,8731,TRUE,0,2009,FALSE,7.15,-0.001405,0.0212108154808572,-0.10625000000000000,0.45271629778672000,0.4511930585683300,0.45038167938931300
2021-07-22,AbSci Corp,1672688,16,222833,200000,WA,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,8731,TRUE,0,2011,TRUE,21.59,2.85E-04,-0.00430126612143855,0.349375,0.6194690265486730,0.6238532110091740,0.5641025641025640
